Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2009-12-01 07:45:00,6.95,13085,United Kingdom
489434,79323P,PINK CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085,United Kingdom
489434,79323W, WHITE CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085,United Kingdom
489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,2009-12-01 07:45:00,2.1,13085,United Kingdom
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2009-12-01 07:45:00,1.25,13085,United Kingdom
489434,22064,PINK DOUGHNUT TRINKET POT ,24,2009-12-01 07:45:00,1.65,13085,United Kingdom
489434,21871,SAVE THE PLANET MUG,24,2009-12-01 07:45:00,1.25,13085,United Kingdom
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,2009-12-01 07:45:00,5.95,13085,United Kingdom
489435,22350,CAT BOWL ,12,2009-12-01 07:46:00,2.55,13085,United Kingdom
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,2009-12-01 07:46:00,3.75,13085,United Kingdom
489435,22195,HEART MEASURING SPOONS LARGE,24,2009-12-01 07:46:00,1.65,13085,United Kingdom
489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,12,2009-12-01 07:46:00,2.55,13085,United Kingdom
490068,22350,CAT BOWL ,12,2009-12-03 14:06:00,2.55,13085,United Kingdom
490068,22349,"DOG BOWL , CHASING BALL DESIGN",12,2009-12-03 14:06:00,3.75,13085,United Kingdom
490068,22201,FRYING PAN BLUE POLKADOT ,4,2009-12-03 14:06:00,4.25,13085,United Kingdom
490068,22200,FRYING PAN PINK POLKADOT ,4,2009-12-03 14:06:00,4.25,13085,United Kingdom
490068,22204,MILK PAN BLUE RETROSPOT,4,2009-12-03 14:06:00,3.75,13085,United Kingdom
490068,22202,MILK PAN PINK RETROSPOT,8,2009-12-03 14:06:00,3.75,13085,United Kingdom
